in_hex,altr,cult,host,llar,localb,other,pers,quot,serv,tran,polygon,polygon_id
324.0,3.0,6.0,9.0,5.0,30.0,12.0,3.0,7.0,41.0,9.0,aoi_21,20.0
325.0,5.0,5.0,16.0,9.0,19.0,1.0,3.0,17.0,41.0,4.0,out,115.0
325.0,5.0,5.0,16.0,9.0,19.0,1.0,3.0,17.0,41.0,4.0,aoi_21,20.0
326.0,4.0,2.0,12.0,4.0,14.0,7.0,6.0,5.0,30.0,1.0,out,115.0
326.0,4.0,2.0,12.0,4.0,14.0,7.0,6.0,5.0,30.0,1.0,aoi_20,19.0
327.0,5.0,4.0,10.0,8.0,37.0,13.0,4.0,6.0,41.0,6.0,out,115.0
327.0,5.0,4.0,10.0,8.0,37.0,13.0,4.0,6.0,41.0,6.0,aoi_20,19.0
328.0,,1.0,3.0,1.0,9.0,10.0,1.0,,13.0,2.0,out,115.0
329.0,2.0,,,,6.0,1.0,,,2.0,1.0,out,115.0
330.0,,,,,5.0,5.0,,1.0,2.0,1.0,out,115.0
331.0,,,1.0,1.0,1.0,9.0,,,4.0,3.0,out,115.0
332.0,,1.0,4.0,,,6.0,,1.0,1.0,3.0,out,115.0
347.0,,,,,,1.0,,,,,out,115.0
356.0,,,2.0,,,,,,,,out,115.0
361.0,1.0,,,,2.0,6.0,,,2.0,,out,115.0
362.0,5.0,1.0,5.0,,16.0,5.0,4.0,6.0,16.0,1.0,out,115.0
363.0,2.0,1.0,4.0,,1.0,1.0,1.0,2.0,5.0,,out,115.0
364.0,,,,,,,,,2.0,,out,115.0
365.0,1.0,,1.0,1.0,5.0,2.0,,1.0,2.0,,out,115.0
366.0,3.0,1.0,6.0,5.0,27.0,5.0,4.0,1.0,14.0,1.0,out,115.0
367.0,7.0,5.0,16.0,7.0,16.0,2.0,19.0,16.0,34.0,4.0,aoi_16,15.0
367.0,7.0,5.0,16.0,7.0,16.0,2.0,19.0,16.0,34.0,4.0,out,115.0
368.0,8.0,1.0,16.0,6.0,11.0,2.0,7.0,11.0,30.0,1.0,out,115.0
